item_id,item_name,category,price
1,Laptop,Electronics,899.99
2,Headphones,Electronics,199.99
3,Coffee Maker,Home Appliances,99.99
4,Smartphone,Electronics,699.99
5,Blender,Home Appliances,
6,Desk Lamp,Furniture,29.99
7,Office Chair,Furniture,149.99
8,Microwave,Home Appliances,89.99
9,Gaming Console,Electronics,
10,Bookshelf,Furniture,79.99
11,Electric Kettle,Home Appliances,39.99
12,Tablet,Electronics,299.99
13,Air Purifier,Home Appliances,129.99
14,Sofa,Furniture,899.99
15,Vacuum Cleaner,Home Appliances,
